,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
Glyma.08G164600,338.1209374,1.887395993,0.319989086,5.898313639,3.67E-09,3.31E-06,FDR < 0.05
Glyma.19G053500,1123.228127,1.886655733,0.309461244,6.096581617,1.08E-09,1.19E-06,FDR < 0.05
Glyma.06G235100,32.76104897,-1.874287062,0.446012574,-4.202318882,2.64E-05,0.002861135,FDR < 0.05
Glyma.11G149100,15.25374122,1.867996867,0.542876126,3.440926533,0.000579726,0.026895528,FDR < 0.05
Glyma.10G237800,292.0180908,1.857375407,0.522286008,3.556241943,0.000376198,0.019266516,FDR < 0.05
Glyma.11G130400,256.9896137,1.855374321,0.47426292,3.912121824,9.15E-05,0.006998607,FDR < 0.05
Glyma.03G083600,6.902619343,1.854119337,0.491669418,3.771069072,0.00016255,0.010495018,FDR < 0.05
Glyma.06G265400,16.4443627,-1.842621766,0.574842868,-3.205435552,0.001348582,0.046865756,FDR < 0.05
Glyma.18G207100,55.48091947,1.842492402,0.375382819,4.908302429,9.19E-07,0.000241018,FDR < 0.05
Glyma.11G123400,73.46475673,1.837101377,0.478143673,3.84215348,0.00012196,0.008524353,FDR < 0.05
Glyma.13G265500,9.159706646,-1.817624384,0.559754388,-3.247182021,0.001165538,0.042909486,FDR < 0.05
Glyma.01G037200,21.39487983,1.812217905,0.567492526,3.193377573,0.00140619,0.048371361,FDR < 0.05
Glyma.16G000100,9.848128269,-1.808717051,0.424997676,-4.255828098,2.08E-05,0.002409671,FDR < 0.05
Glyma.18G141100,14.00543477,-1.807878589,0.456028118,-3.964401575,7.36E-05,0.005949255,FDR < 0.05
Glyma.01G089800,27.26997599,1.800479515,0.459989591,3.914174476,9.07E-05,0.006967959,FDR < 0.05
Glyma.16G031200,7.949421104,-1.796915169,0.52508739,-3.42212592,0.000621335,0.028228324,FDR < 0.05
Glyma.05G212700,78.48538603,1.795664675,0.445657574,4.029247516,5.60E-05,0.004870497,FDR < 0.05
Glyma.01G210100,95.25875243,1.790095511,0.338956847,5.281190001,1.28E-07,5.03E-05,FDR < 0.05
Glyma.04G242300,54.31223158,-1.783720722,0.53014702,-3.364577472,0.00076661,0.032343458,FDR < 0.05
Glyma.19G030500,258.7065132,1.782846515,0.50624308,3.521720264,0.000428756,0.021354128,FDR < 0.05
Glyma.12G070400,17.62660462,1.76025276,0.510877111,3.445550257,0.000569898,0.026538724,FDR < 0.05
Glyma.07G270000,86.00523915,1.759964621,0.454585106,3.871584437,0.00010813,0.007847123,FDR < 0.05
Glyma.19G170200,24.60648051,-1.742093266,0.364994532,-4.772929769,1.82E-06,0.000388053,FDR < 0.05
Glyma.17G124800,36.56772165,1.733639653,0.521291725,3.325661178,0.000882091,0.035247766,FDR < 0.05
Glyma.13G294200,33.04760914,1.731560152,0.513970408,3.368988029,0.000754447,0.03193883,FDR < 0.05
Glyma.13G361900,88.48874675,1.731183176,0.453082062,3.820904248,0.000132963,0.009081425,FDR < 0.05
Glyma.17G065000,27.57080065,1.724580213,0.539850996,3.194548542,0.001400497,0.048264687,FDR < 0.05
Glyma.17G139600,31.48114911,1.724513264,0.433055459,3.982199573,6.83E-05,0.005690645,FDR < 0.05
Glyma.09G118900,49.29163317,1.721512051,0.52310442,3.290952983,0.000998486,0.038467009,FDR < 0.05
Glyma.10G012700,1085.503098,1.716520056,0.312592075,5.49124624,3.99E-08,2.12E-05,FDR < 0.05
Glyma.14G087400,46.09626672,1.715556092,0.537608589,3.191087583,0.001417383,0.048576991,FDR < 0.05
Glyma.06G312200,230.2506058,1.706222456,0.50593303,3.372427486,0.000745087,0.031831964,FDR < 0.05
Glyma.11G020300,427.3105556,1.704668093,0.23005403,7.409859732,1.26E-13,3.62E-10,FDR < 0.05
Glyma.03G101000,131.7443856,1.703196092,0.387035099,4.400624382,1.08E-05,0.001492171,FDR < 0.05
Glyma.18G183100,15.67853262,-1.699385391,0.406435576,-4.18119252,2.90E-05,0.003069054,FDR < 0.05
Glyma.04G220300,11.94758277,1.690307238,0.466068627,3.626734646,0.000287028,0.015841394,FDR < 0.05
Glyma.19G175800,16.52730028,1.688391615,0.522598937,3.230759758,0.001234617,0.04397171,FDR < 0.05
Glyma.01G044500,21.23132434,-1.68457668,0.375692704,-4.483921731,7.33E-06,0.001092042,FDR < 0.05
Glyma.03G224700,43.88314446,1.683203356,0.464052893,3.627179968,0.000286534,0.01583757,FDR < 0.05
Glyma.06G158000,926.095963,1.681791218,0.409014001,4.111818208,3.93E-05,0.003864287,FDR < 0.05
Glyma.01G244800,36.69717489,-1.680052448,0.391738531,-4.288708707,1.80E-05,0.002180609,FDR < 0.05
Glyma.16G001600,21.67654908,-1.674892562,0.388397388,-4.312316749,1.62E-05,0.002026427,FDR < 0.05
Glyma.17G092800,72.38814816,-1.67401662,0.406401897,-4.119116155,3.80E-05,0.00380783,FDR < 0.05
Glyma.12G200400,60.67866547,1.673887152,0.493657453,3.39078675,0.000696923,0.030473206,FDR < 0.05
Glyma.07G027000,49.37413077,1.664560855,0.35017208,4.753551044,2.00E-06,0.000409128,FDR < 0.05
Glyma.05G204600,51.38395189,-1.664538045,0.510693008,-3.259371129,0.001116595,0.041848721,FDR < 0.05
Glyma.13G157000,126.1068556,1.661250947,0.343950946,4.82990661,1.37E-06,0.000320595,FDR < 0.05
Glyma.07G190100,144.2243819,1.658877235,0.347495888,4.773803928,1.81E-06,0.000388053,FDR < 0.05
Glyma.05G179300,388.1748094,1.655048288,0.430407329,3.845306936,0.000120402,0.008447161,FDR < 0.05
Glyma.09G181400,422.7028885,1.655005956,0.284889392,5.809293021,6.27E-09,5.19E-06,FDR < 0.05
Glyma.17G121900,13.84801847,1.649728606,0.509137046,3.240244685,0.001194272,0.043321712,FDR < 0.05
Glyma.03G201000,135.6183971,1.649142807,0.364355418,4.526192625,6.01E-06,0.00093669,FDR < 0.05
Glyma.07G122600,7.363492899,1.634704697,0.491668864,3.324808252,0.000884794,0.035253585,FDR < 0.05
Glyma.18G033300,21.06960843,1.626187352,0.40833939,3.982440565,6.82E-05,0.005690645,FDR < 0.05
Glyma.15G098500,2466.684766,1.622911236,0.299971906,5.410210767,6.30E-08,3.05E-05,FDR < 0.05
Glyma.12G044700,12.15708695,1.614640922,0.495501008,3.2586027,0.001119623,0.041920052,FDR < 0.05
Glyma.15G065600,50.99686437,-1.606344173,0.436504392,-3.680018355,0.000233217,0.013790908,FDR < 0.05
Glyma.01G198000,38.99172297,1.599074466,0.401405949,3.983684025,6.79E-05,0.005680614,FDR < 0.05
Glyma.19G236600,53.50967336,-1.598147,0.428415899,-3.730363428,0.000191204,0.011931499,FDR < 0.05
Glyma.01G157600,331.0556101,1.597231267,0.268965765,5.938418463,2.88E-09,2.68E-06,FDR < 0.05
Glyma.10G185600,55.51278921,-1.596436546,0.434844804,-3.671278885,0.00024134,0.014159417,FDR < 0.05
Glyma.19G098500,265.4542381,1.589239844,0.443123883,3.586445927,0.000335216,0.017688555,FDR < 0.05
Glyma.01G126200,8.181040129,-1.582973628,0.463819066,-3.412911938,0.000642727,0.028848379,FDR < 0.05
Glyma.03G241600,125.8115564,1.572235618,0.425650369,3.693725488,0.000220992,0.013343354,FDR < 0.05
Glyma.10G295900,24.37238802,1.571894483,0.458065501,3.43159325,0.000600047,0.027597708,FDR < 0.05
Glyma.09G248400,45.83375983,1.569968895,0.283548252,5.536866767,3.08E-08,1.82E-05,FDR < 0.05
Glyma.14G118500,65.79310343,1.566966496,0.452231718,3.46496372,0.000530303,0.02507095,FDR < 0.05
Glyma.15G116900,69.54948327,-1.560686987,0.379360771,-4.113991496,3.89E-05,0.003842753,FDR < 0.05
Glyma.09G200500,10.61364116,1.556352237,0.47840143,3.253234922,0.001140991,0.042337139,FDR < 0.05
Glyma.20G094500,12.00147744,-1.555511719,0.481975728,-3.227365257,0.001249359,0.044285069,FDR < 0.05
